School Number,School Name,Telephone,Fax,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban Area,School Type,Definition,Authority,Donations,Gender of Students,Territorial Authority,Regional Council,Ministry of Education Local Office,Education Region,General Electorate,Māori Electorate,Area Unit,Ward,Community of Learning ID,Community of Learning Name,Latitude,Longitude,Isolation Index,Decile,Total School Roll,European / Pākehā,Māori,Pacific,Asian,MELAA,Other,International
3485,Te Kāpehu Riccarton School,03 348 5700,03 348 5712,paul.irving@riccartonprimary.school.nz,Paul Irving,http://www.riccartonprimary.school.nz,1 English Street,Sockburn,Christchurch,1 English Street,Sockburn,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Sockburn,Hornby Ward,99176,Pūtaringamotu Kāhui Ako,-43.533363,172.564144,0.14,3,286,37,72,60,98,14,4,1
3488,Rolleston School,03 347 8355,03 347 8360,admin@rolleston.school.nz,Simon Moriarty,http://www.rolleston.school.nz,11 Tennyson Street,,Rolleston,P O Box 141,,Rolleston,7643,Minor Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston North East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.592491,172.381339,0.51,10,790,584,85,18,67,32,4,0
3490,Rotherham School,03 315 6368,03 315 6368,office@rotherham.school.nz,Cheryl Barbara (Acting),http://www.rotherham.school.nz,71 George Street,,Rotherham,71 George Street,,Rotherham,7379,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Hurunui District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Amuri,Amuri-Hurunui Ward,99066,Tipu Maia Community of Learning,-42.698452,172.944205,2.23,8,31,19,9,0,2,1,0,0
3492,Te Kōmanawa Rowley School,03 338 2472,03 338 0280,admin@rowley.school.nz,Graeme Norman,http://www.rowley.school.nz,48 Rowley Avenue,Hoon Hay,Christchurch,48 Rowley Avenue,Hoon Hay,Christchurch,8025,Main Urban Area,Contributing,Bilingual Year 7 and Year 8 School,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hillmorton,Spreydon Ward,,,-43.562252,172.587768,0.13,1,125,25,51,48,1,0,0,0
3493,Te Ara Maurea Roydvale School,03 358 5785,03 358 5762,office@roydvale.school.nz,Jenny Washington,http://www.roydvale.school.nz,117 Roydvale Avenue,Burnside,Christchurch,117 Roydvale Avenue,Burnside,Christchurch,8053,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Russley,Waimairi Ward,99027,Waimairi-iri Community of Learning,-43.494484,172.563148,0.19,10,288,123,19,8,116,10,12,0
3496,Russley School,03 342 7783,03 342 5425,reception@russley.school.nz,Gregory Lewis,http://www.russley.school.nz,75 Cutts Road,Avonhead,Christchurch,75 Cutts Road,Russley,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Avonhead West,Waimairi Ward,,,-43.517895,172.544704,0.2,7,451,249,52,16,96,32,5,1
3498,Sacred Heart School (Timaru),03 688 8188,03 688 8298,office@sacredhearttim.school.nz,David Armstrong,http://www.sacredhearttim.school.nz,54 Heaton Street,,Timaru,54 Heaton Street,Parkside,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Parkside,Timaru Ward,99112,South Canterbury Catholic Community of Learning,-44.401811,171.248548,0.67,5,207,133,29,11,30,3,1,0
3501,Sefton School,03 312 9755,03 312 9757,office@sefton.school.nz,Jane Fong (Acting),http://www.sefton.school.nz,603 Upper Sefton Road,,Sefton,P O Box 9,,Sefton,7445,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Kaikoura,Te Tai Tonga,Sefton,Kaiapoi-Woodend Ward,99077,Puketeraki Community of Learning,-43.246713,172.672877,0.65,7,111,96,11,2,1,1,0,0
3502,Sheffield Contributing School,03 318 3713,03 318 3715,karen@sheffieldprimary.school.nz,Nigel Easson,http://www.sheffieldprimary.school.nz,Wrights Road,,Sheffield,Wrights Road,,Sheffield,7500,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.390946,172.025361,1.16,9,101,83,16,1,1,0,0,0
3503,Shirley Intermediate,03 385 2229,03 385 2335,principal@sis.school.nz,Geoffrey Siave,http://www.sis.school.nz,60 Shirley Road,Shirley,Christchurch,P O Box 27028,Shirley,Christchurch,8640,Main Urban Area,Intermediate,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Richmond North,Innes Ward,99175,Ōtākaro Community of Learning,-43.508313,172.661644,0.09,4,152,72,34,20,20,6,0,0
3504,Shirley Primary School,03 385 2019,03 385 2008,lilian.wichman@shirleyprimary.school.nz,Alistair Sim,http://www.shirleyprimary.school.nz,11 Shirley Road,Shirley,Christchurch,11 Shirley Road,Shirley,Christchurch,8013,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Shirley West,Innes Ward,99175,Ōtākaro Community of Learning,-43.507888,172.653152,0.08,3,324,141,75,40,48,18,2,0
3505,Wigram Primary School - Te Piki Kāhu,03 349 7325,03 349 7382,principal@wigramprimary.school.nz,Heather Walkinshaw,http://wigramprimary.school.nz,5 The Runway,Wigram,Christchurch,5 The Runway,Wigram,Christchurch,8042,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Wigram,Halswell Ward,99045,Uru Mānuka Kāhui Ako,-43.553946,172.551525,0.19,4,342,109,29,16,152,35,1,0
3506,Somerfield Te Kura Wairepo,03 332 2364,03 332 5958,admin@somerfield.school.nz,Denise Torrey,http://www.somerfield.school.nz,42 Studholme Street,Somerfield,Christchurch,P O Box 33246,Barrington,Christchurch,8244,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Somerfield,Cashmere Ward,,,-43.561645,172.628537,0.09,8,503,370,55,15,29,32,2,0
3507,South Hornby School,03 349 7561,03 349 7501,admin@southhornby.school.nz,Wendy Huriwai,http://www.southhornby.school.nz,35 Amyes Road,Hornby,Christchurch,35 Amyes Road,Hornby,Christchurch,8042,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby South,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.547122,172.529047,0.23,4,297,138,57,30,64,6,2,0
3508,South New Brighton School,03 388 9426,03 388 1810,admin@snbs.school.nz,Susan Walls,http://www.snbs.school.nz,160 Estuary Road,South New Brighton,Christchurch,160 Estuary Road,South New Brighton,Christchurch,8062,Main Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,South Brighton,Coastal Ward,,,-43.52622,172.733527,0.2,6,493,377,80,10,15,6,5,0
3509,Southbridge School,03 324 2545,,principal@southbridge.school.nz,Ian Quilter,http://www.southbridge.school.nz,25 Hastings Street,,Southbridge,25 Hastings Street,,Southbridge,7602,Rural Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Southbridge,Ellesmere Ward,99207,Ngā Mātāpuna o te Waihora Kāhui Ako,-43.809042,172.251661,1.08,8,131,88,29,6,5,1,2,0
3510,Southbrook School,03 313 8792,03 313 3661,admin@southbrook.school.nz,Julie Walls,http://www.southbrook.school.nz,26 Marshall Street,,Rangiora,P O Box 640,,Rangiora,7440,Secondary Urban Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Southbrook,Rangiora-Ashley Ward,99077,Puketeraki Community of Learning,-43.321616,172.599819,0.39,7,313,250,37,7,11,8,0,0
3512,Spreydon School,03 338 5033,03 338 5021,admin@spreydon.school.nz,Andrea Stewart,http://www.spreydon.school.nz,50 Hoon Hay Road,Hoon Hay,Christchurch,P O Box 37221,Halswell,Christchurch,8245,Main Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hillmorton,Spreydon Ward,,,-43.557575,172.597927,0.1,3,245,140,35,17,47,6,0,0
3515,Springfield School,03 318 4867,,office@springfield.school.nz,Keri Steele,http://springfield.ultranet.school.nz/home,2 Tawera Lane,,Springfield,2 Tawera Lane RD 1,,Springfield,7649,Rural Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Malvern,Malvern Ward,99008,Te Hū o Kākāpōtahi Kāhui Ako (Malvern),-43.337474,171.9325,1.38,6,42,33,6,0,0,2,1,0
3516,Springston School,03 329 5724,03 329 5731,office@springston.school.nz,Dianne Prendergast,http://www.springston.school.nz,Leeston Road,,Springston,16 Leeston Road,,Springston,7616,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Springston,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.644586,172.425734,0.54,10,213,182,16,7,1,4,3,0
3517,St Albans Catholic School (Christchurch),03 355 7538,03 355 9652,office@stalbanscatholic.school.nz,Abraham Atherton,http://www.stalbanscatholic.school.nz,49 Rutland Street,St Albans,Christchurch,49 Rutland Street,Saint Albans,Christchurch,8014,Main Urban Area,Contributing,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Rutland,Fendalton Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.507131,172.629095,0.07,9,105,83,6,1,11,2,2,0
3518,St Albans School,03 355 9132,03 356 0153,stalbans@stalbans.school.nz,Glen McKenzie (Acting),http://www.stalbans.school.nz,17 Sheppard Place,St Albans,Christchurch,17 Sheppard Place,Saint Albans,Christchurch,8014,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,St Albans East,Innes Ward,,,-43.508774,172.634388,0.06,8,579,353,71,26,111,13,5,0
3519,St Andrew's School (Timaru),03 612 6831,03 612 6821,office@standrewsprimary.school.nz,Murray Davidson,http://www.standrewsprimary.school.nz,21 Blue Cliffs Road,,St Andrews,21 Blue Cliffs Road RD 24,,St Andrews,7988,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,St Andrews,Pareora-Otaio-Makikihi Ward,99178,South Timaru Community of Learning,-44.528475,171.188022,1.03,4,102,80,16,3,1,1,1,0
3520,St Anne's School (Woolston),03 384 3073,,reception@stannes.co.nz,Dallas Wichman,http://www.stannes.co.nz,739 Ferry Road,Woolston,Christchurch,P O Box 19625,Woolston,Christchurch,8241,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Ferrymead,Linwood Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.550383,172.685581,0.11,3,161,47,23,40,45,4,2,0
3521,St Bernadette's School (Hornby),03 342 9780,03 342 6240,admin@stb.school.nz,Joanne Jones,http://www.stbernadetteschch.school.nz,74 Hei Hei Road,Hornby,Christchurch,74 Hei Hei Road,Hei Hei,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Wigram,Te Tai Tonga,Hornby North,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.533484,172.525345,0.23,4,119,32,8,27,50,2,0,0
3523,St James School (Aranui),03 982 0009,03 982 0010,principal@stjames.school.nz,Rose Firth-Scott,http://www.stjames.school.nz,Rowan Avenue,Aranui,Christchurch,25 Rowan Avenue,Aranui,Christchurch,8061,Main Urban Area,Contributing,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch East,Te Tai Tonga,Aranui,Burwood Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.51173,172.70486,0.16,1,115,34,30,47,4,0,0,0
3527,St Joseph's School (Ashburton),03 308 5299,03 308 0077,office@st-josephs.school.nz,Cath Blacklow,http://www.st-josephs.school.nz,87 Havelock Street,,Ashburton,87 Havelock Street,,Ashburton,7700,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Ashburton Central West,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.901132,171.746227,1.12,8,247,138,13,20,67,9,0,0
3528,St Joseph's School (Pleasant Point),03 614 7202,03 614 8045,office@stjoplpt.school.nz,Aroha Stewart,http://www.stjoplpt.school.nz/,29 Afghan Street,,Pleasant Point,29 Afghan Street,,Pleasant Point,7903,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Pleasant Point,Pleasant Point-Temuka Ward,99112,South Canterbury Catholic Community of Learning,-44.26184,171.131708,0.98,9,54,45,7,0,0,0,2,0
3529,St Joseph's School (Fairlie),027 685 8659,03 685 8649,office@stjofairlie.school.nz,Kelly Eason (Acting),http://www.stjofairlie.school.nz,3 Gall Street,,Fairlie,3 Gall Street,,Fairlie,7925,Rural Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Mackenzie District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Fairlie,Opuha Ward,99143,Te Kāhui Ako ō Te Manahuna,-44.10421,170.827614,1.8,7,26,19,4,3,0,0,0,0
3530,St Joseph's School (Kaikoura),03 319 5725,,office@stjkaikoura.school.nz,Judith Ford,http://www.stjkaikoura.school.nz,30 Ludstone Road,,Kaikoura,30 Ludstone Road,,Kaikoura,7300,Rural Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Kaikoura District,Canterbury Region,Nelson,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Kaikoura Rural,Area Outside Ward,99025,Kaikoura Community of Learning,-42.399981,173.675501,3.05,5,101,66,26,0,8,1,0,0
3531,St Joseph's School (Papanui),03 352 8779,03 352 4052,office@stjopapa.school.nz,Aaron Richards,http://www.stjopapa.school.nz,4 Vagues Road,Papanui,Christchurch,4 Vagues Road,Northcote,Christchurch,8052,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Northcote,Papanui Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.488673,172.614444,0.12,9,416,246,34,12,103,11,4,6
3532,St Joseph's School (Temuka),03 615 8206,03 615 8204,office@stjotemu.school.nz,Brenna Sugrue (Acting),https://www.stjotemu.school.nz/,Wilkin Street,,Temuka,31 Wilkin Street,,Temuka,7920,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Temuka,Pleasant Point-Temuka Ward,99112,South Canterbury Catholic Community of Learning,-44.244131,171.284601,0.92,6,111,84,17,3,4,3,0,0
3533,St Joseph's School (Timaru),03 688 1376,,office@stjosephstimaru.school.nz,Trish McCambridge (Acting),http://www.stjosephstimaru.school.nz,50 Kelvin Street,,Timaru,50 Kelvin Street,Marchwiel,Timaru,7910,Secondary Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Timaru District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Marchwiel,Timaru Ward,99112,South Canterbury Catholic Community of Learning,-44.378511,171.225105,0.7,7,218,173,23,4,18,0,0,0
3534,St Martins School,03 332 6121,03 332 5171,admin@stmartins.school.nz,Andrew Mouat,http://www.stmartins.school.nz,Albert Terrace,St Martins,Christchurch,Albert Terrace,Saint Martins,Christchurch,8022,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,St Martins,Cashmere Ward,99177,Te Mana Raupō Community of Learning,-43.565432,172.657232,0.11,9,504,406,42,5,40,10,1,0
3535,St Mary's School (Christchurch),03 366 2005,03 366 2005,office@stmaryschch.school.nz,David O'Neill,http://www.stmaryschch.school.nz/,375 Manchester Street,,Christchurch,375 Manchester Street,Christchurch Central,Christchurch,8013,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Avon Loop,Central Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.523227,172.639261,0.03,4,122,36,8,11,60,7,0,0
3537,St Patrick's School (Bryndwr),03 351 5590,03 351 0822,office@stpatricks.school.nz,Tom Wallis,http://www.stpatricks.school.nz,57 Plynlimon Road,Bryndwr,Christchurch,57 Plynlimon Road,Strowan,Christchurch,8052,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Strowan,Fendalton Ward,99027,Waimairi-iri Community of Learning,-43.511239,172.604049,0.09,10,177,145,11,1,13,5,0,2
3539,St Patrick's School (Waimate),03 689 8584,03 689 8784,office@spw.school.nz,Bridget Wilson (Acting),http://st-pats.school.nz/,Cameron Street,,Waimate,P O Box 53,,Waimate,7960,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Waimate District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waitaki,Te Tai Tonga,Waimate,Waimate Ward,99040,Waimate Community of Learning,-44.731442,171.052432,1.44,5,31,15,4,2,10,0,0,0
3540,St Patrick's School (Kaiapoi),03 327 7700,03 327 7112,office@stpatkai.school.nz,Trish McKendry,http://www.stpatkai.school.nz,Fuller Street,,Kaiapoi,61 Fuller Street,,Kaiapoi,7630,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Kaiapoi South,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.384361,172.654115,0.35,7,121,91,11,7,11,0,1,0
3542,St Peter's School (Beckenham),03 332 7598,03 337 2874,principal@saintpeters.school.nz,Maire Bowler (Acting),http://www.saintpeters.school.nz,11 Fisher Avenue,Beckenham,Christchurch,11 Fisher Avenue,Beckenham,Christchurch,8023,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Beckenham,Cashmere Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.559766,172.637698,0.08,8,156,111,8,5,27,5,0,0
3543,St Teresa's School (Riccarton),03 348 9392,03 343 5307,enquiries@stteresas.school.nz,Susan De Gouveia,http://www.stteresas.school.nz,10 Puriri Street,,Christchurch,10 Puriri Street,Riccarton,Christchurch,8041,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations should not be requested unless for a school camp,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Ilam,Te Tai Tonga,Mona Vale,Riccarton Ward,99044,Christchurch Catholic (Te Mara Akoranga Katorika) Kāhui Ako,-43.529758,172.59214,0.09,4,175,28,11,25,105,6,0,0
3544,Our Lady Star of the Sea School (Christchurch),03 326 5315,03 326 7790,office@ourladystar.school.nz,NATHAN BURFORD,http://www.ourladystar.school.nz,45 Colenso Street,Sumner,Christchurch,P O Box 17571,Sumner,Christchurch,8840,Main Urban Area,Full Primary,Not Applicable,State : Integrated,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Sumner,Heathcote Ward,99196,Aupaki Kāhui Ako,-43.574868,172.762543,0.29,10,64,50,9,1,0,3,1,0
3546,Sumner School,03 326 6546,03 326 7003,admin@sumner.school.nz,Margaret Coleman,http://www.sumner.school.nz,Colenso Street,Sumner,Christchurch,P O Box 17622,Sumner,Christchurch,8840,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Sumner,Heathcote Ward,99196,Aupaki Kāhui Ako,-43.573098,172.759628,0.28,10,389,344,24,7,5,3,5,1
3547,Swannanoa School,03 312 6813,,admin@swannanoa.school.nz,Brian Price,http://www.swannanoa.school.nz,1305 Tram Road,,Rangiora,1305 Tram Road RD 6,,Rangiora,7476,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Mandeville,Oxford-Ohoka Ward,99077,Puketeraki Community of Learning,-43.369342,172.495566,0.51,10,322,272,30,5,4,9,2,0
3549,Tai Tapu School,03 329 6796,03 329 6193,info@taitapu.school.nz,Bernadette May,http://www.taitapu.school.nz,1 School Road,,Tai Tapu,Counter Delivery,Tai Tapu Postcentre,Tai Tapu,7645,Rural Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Taitapu,Springs Ward,99113,Ngā Mātāpuna o Ngā Pakihi Community of Learning,-43.663629,172.550066,0.45,10,238,208,15,0,7,5,3,0
3554,Waitaha School,03 344 1243,,admin@waitaha.school.nz,Maureen Allan,http://waitaha.school.nz/,12 Lemonwood Drive,,Rolleston,12 Lemonwood Drive,Faringdon,Rolleston,7615,Minor Urban Area,Special School,School for pupils with intellectual impairments,State,Donations should not be requested unless for a school camp,Co-Educational,Selwyn District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Rolleston South East,Selwyn Central Ward,99206,Ngā Peka o Tauwharekākaho (Rolleston) Kāhui Ako,-43.623432,172.385925,0.35,6,115,62,23,7,17,5,1,0
3555,Templeton School,03 349 7045,03 349 7047,office@templeton.school.nz,Nick Pratt,http://www.templeton.school.nz,40 Kirk Road,Templeton,Christchurch,40 Kirk Road,Templeton,Christchurch,8042,Main Urban Area,Full Primary,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Selwyn,Te Tai Tonga,Templeton,Hornby Ward,99045,Uru Mānuka Kāhui Ako,-43.550162,172.472361,0.32,8,345,238,68,16,17,2,4,0
3557,Thorrington School,03 332 7480,03 337 1205,admin@thorrington.ac.nz,Christine Harris,http://www.thorrington.ac.nz,22A Colombo Street,Cashmere,Christchurch,22A Colombo Street,Cashmere,Christchurch,8022,Main Urban Area,Contributing,Not Applicable,State,Donations may be requested,Co-Educational,Christchurch City,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Banks Peninsula,Te Tai Tonga,Cashmere West,Cashmere Ward,,,-43.566305,172.636568,0.09,10,436,328,26,2,55,17,8,0
3561,Tinwald School,03 308 4555,03 308 5055,admin@tinwald.school.nz,Peter Livingstone,http://www.tinwaldschool.weebly.com,131 Thomson Street,Tinwald,Ashburton,P O Box 5032,Tinwald,Ashburton,7741,Secondary Urban Area,Contributing,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Ashburton District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Rangitata,Te Tai Tonga,Tinwald,Ashburton Ward,99043,Hakatere Kāhui Ako,-43.923887,171.719067,1.12,6,238,170,37,14,11,6,0,0
3563,Tuahiwi School,03 313 8521,03 313 8543,office@tuahiwi.school.nz,Melanie Taite-Pitama,http://tuahiwi.school.nz,206 Tuahiwi Road,,Kaiapoi,206 Tuahiwi Road RD 1,,Kaiapoi,7691,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Tuahiwi,Kaiapoi-Woodend Ward,99061,Katote (Christchurch) Community of Learning,-43.334247,172.643796,0.4,6,171,33,126,11,0,0,1,0
3565,View Hill School,03 312 4336,03 312 4336,principal@viewhill.school.nz,Bu Windsor,http://www.viewhill.school.nz,496 Island Road,,Oxford,Island Road RD 1,,Oxford,7495,Rural Area,Full Primary,Not Applicable,State,Donations should not be requested unless for a school camp,Co-Educational,Waimakariri District,Canterbury Region,Christchurch,Canterbury/Chatham Islands,Waimakariri,Te Tai Tonga,Ashley Gorge,Oxford-Ohoka Ward,99077,Puketeraki Community of Learning,-43.299033,172.071832,1.23,7,63,57,6,0,0,0,0,0
